"State","City","County","Cases"
"Florida","Odessa","Hillsborough","21"
"Florida","Pace","Santa Rosa","21"
"Florida","Interlachen","Putnam","20"
"Florida","Zolfo Springs","Hardee","20"
"Florida","Panama City Beach","Bay","20"
"Florida","Crystal River","Citrus","20"
"Florida","Key Largo","Monroe","20"
"Florida","Bunnell","Flagler","20"
"Florida","Safety Harbor","Pinellas","20"
"Florida","Edgewater","Volusia","20"
"Florida","Oxford","Sumter","19"
"Florida","Lady Lake","Lake","19"
"Florida","Jacksonville","St. Johns","19"
"Florida","Shalimar","Okaloosa","19"
"Florida","Mary Esther","Okaloosa","18"
"Florida","Satellite Beach","Brevard","18"
"Florida","Callahan","Nassau","17"
"Florida","Williston","Levy","17"
"Florida","Chattahoochee","Gadsden","17"
"Florida","El Portal","Dade","17"
"Florida","Chuluota","Seminole","17"
"Florida","Felda","Hendry","16"
"Florida","Lithia","Hillsborough","16"
"Florida","Clearwater Beach","Pinellas","16"
"Florida","Tequesta","Palm Beach","16"
"Florida","Carol City","Dade","16"
"Florida","Cutler Bay","Dade","15"
"Florida","Frostproof","Polk","15"
"Florida","Midway","Gadsden","15"
"Florida","West Miami","Dade","15"
"Florida","Oldsmar","Pinellas","15"
"Florida","Sebastian","Indian River","15"
"Florida","Bal Harbour","Dade","15"
"Florida","Fort Myers Beach","Lee","15"
"Florida","Gretna","Gadsden","15"
"Florida","Rotunda West","Charlotte","15"
"Florida","Nokomis","Sarasota","15"
"Florida","Lakewood Ranch","Manatee","14"
"Florida","Hialeah Gardens","Dade","14"
"Florida","Hilliard","Nassau","14"
"Florida","Yulee","Nassau","14"
"Florida","East Palatka","Putnam","14"
"Florida","Atlantic Beach","Duval","14"
"Florida","Dunnellon","Marion","14"
"Florida","Mascotte","Lake","14"
"Florida","Trenton","Gilchrist","13"
"Florida","Greenwood","Jackson","13"
"Florida","Molino","Escambia","13"
"Florida","North Bay Village","Dade","13"
"Florida","Flagler Beach","Flagler","13"
"Florida","Lake Butler","Union","13"
"Florida","Viera","Brevard","13"
"Florida","Citrus Springs","Citrus","13"
"Florida","Bronson","Levy","13"
"Florida","Englewood","Charlotte","12"
"Florida","Englewood","Sarasota","12"
"Florida","Medley","Dade","12"
"Florida","Sanibel","Lee","12"
"Florida","Lynn Haven","Bay","12"
"Florida","Cottondale","Jackson","12"
"Florida","South Daytona","Volusia","11"
"Florida","Temple Terrace","Hillsborough","11"
"Florida","High Springs","Alachua","11"
"Florida","Hallandale Beach","Broward","11"
"Florida","Lecanto","Citrus","11"
"Florida","Miami Springs","Dade","11"
"Florida","Mayo","Lafayette","11"
"Florida","Cocoa Beach","Brevard","11"
"Florida","Biscayne Park","Dade","11"
"Florida","Citra","Marion","10"
"Florida","Coconut Grove","Dade","10"
"Florida","Fort White","Columbia","10"
"Florida","Homosassa","Citrus","10"
"Florida","Lake Alfred","Polk","10"
"Florida","Alva","Lee","10"
"Florida","Kendall","Dade","10"
"Florida","Neptune Beach","Duval","10"
"Florida","Indian Rocks Beach","Pinellas","10"
"Florida","The Villages","Lake","10"
"Florida","Gotha","Orange","10"
"Florida","Belle Isle","Orange","10"
"Florida","Bell","Gilchrist","10"
"Florida","Sunny Isles Beach","Dade","9"
"Florida","Eagle Lake","Polk","9"
"Florida","Juno Beach","Palm Beach","9"
"Florida","Belleview","Marion","9"
"Florida","Beverly Hills","Citrus","9"
"Florida","West Park","Broward","9"
"Florida","Wildwood","Sumter","9"
"Florida","Osprey","Sarasota","9"
"Florida","Hernando","Citrus","9"
"Florida","Keystone Heights","Clay","9"
"Florida","Freeport","Walton","8"
"Florida","Sorrento","Lake","8"
"Florida","Crescent City","Putnam","8"
"Florida","Mims","Brevard","8"
"Florida","Minneola","Lake","8"
"Florida","Poinciana","Polk","8"
"Florida","Southwest Ranches","Broward","8"
"Florida","Grand Ridge","Jackson","8"
"Florida","Webster","Sumter","8"
"Florida","Gulfport","Pinellas","8"
"Florida","Hawthorne","Alachua","8"
"Florida","Hypoluxo","Palm Beach","7"
"Florida","Kenneth City","Pinellas","7"
"Florida","De Leon Springs","Volusia","7"
"Florida","O Brien","Suwannee","7"
"Florida","Surfside","Dade","7"
"Florida","West Melbourne","Brevard","7"
"Florida","Lake Suzy","Desoto","7"
"Florida","Miami Shores","Dade","7"
"Florida","Vernon","Washington","7"
"Florida","South Pasadena","Pinellas","7"
"Florida","Indian Harbour Beach","Brevard","7"
"Florida","Malone","Jackson","7"
"Florida","Atlantis","Palm Beach","7"
"Florida","Umatilla","Lake","7"
"Florida","Marathon","Monroe","7"
"Florida","Polk City","Polk","6"
"Florida","Christmas","Orange","6"
"Florida","Celebration","Osceola","6"
"Florida","Spring Hill","Pasco","6"
"Florida","Trinity","Pasco","6"
"Florida","White Springs","Hamilton","6"
"Florida","Lighthouse Point","Broward","6"
"Florida","Lady Lake","Sumter","6"
