"City","County","Cases"
"Nokomis","Sarasota","14"
"Hilliard","Nassau","13"
"Fellsmere","Indian River","13"
"Missing","Highlands","13"
"Bronson","Levy","13"
"East Palatka","Putnam","13"
"North Bay Village","Dade","13"
"Missing","Collier","13"
"Missing","Polk","13"
"Flagler Beach","Flagler","13"
"Lake Butler","Union","13"
"Greenwood","Jackson","13"
"Dunnellon","Marion","13"
"Frostproof","Polk","13"
"Lynn Haven","Bay","12"
"Cottondale","Jackson","12"
"Englewood","Sarasota","12"
"Sanibel","Lee","12"
"Atlantic Beach","Duval","12"
"Molino","Escambia","12"
"Citrus Springs","Citrus","12"
"Lecanto","Citrus","12"
"Yulee","Nassau","12"
"Chuluota","Seminole","11"
"Englewood","Charlotte","11"
"Lithia","Hillsborough","11"
"Mayo","Lafayette","11"
"Cocoa Beach","Brevard","11"
"Medley","Dade","11"
"Indian Rocks Beach","Pinellas","10"
"Temple Terrace","Hillsborough","10"
"Homosassa","Citrus","10"
"Viera","Brevard","10"
"Biscayne Park","Dade","10"
"Citra","Marion","10"
"Miami Springs","Dade","10"
"Hallandale Beach","Broward","10"
"Kendall","Dade","10"
"Neptune Beach","Duval","10"
"Alva","Lee","9"
"Missing","Hendry","9"
"Osprey","Sarasota","9"
"Coconut Grove","Dade","9"
"Fort White","Columbia","9"
"Missing","Indian River","9"
"Keystone Heights","Clay","9"
"Hernando","Citrus","9"
"The Villages","Lake","9"
"South Daytona","Volusia","9"
"Gotha","Orange","9"
"Belle Isle","Orange","9"
"Juno Beach","Palm Beach","9"
"Bell","Gilchrist","9"
"Sunny Isles Beach","Dade","9"
"Belleview","Marion","9"
"Trenton","Gilchrist","9"
"Wildwood","Sumter","9"
"Webster","Sumter","8"
"High Springs","Alachua","8"
"Beverly Hills","Citrus","8"
"Hawthorne","Alachua","8"
"Eagle Lake","Polk","8"
"Crescent City","Putnam","8"
"Minneola","Lake","8"
"Freeport","Walton","8"
"Poinciana","Polk","8"
"Lake Alfred","Polk","8"
"Indian Harbour Beach","Brevard","7"
"Grand Ridge","Jackson","7"
"Vernon","Washington","7"
"Marathon","Monroe","7"
"Mims","Brevard","7"
"Malone","Jackson","7"
"Atlantis","Palm Beach","7"
"Kenneth City","Pinellas","7"
"Hypoluxo","Palm Beach","7"
"Missing","Okeechobee","7"
"O Brien","Suwannee","7"
"West Park","Broward","7"
"Surfside","Dade","7"
"West Melbourne","Brevard","6"
"Gulfport","Pinellas","6"
"Fruitland Park","Lake","6"
"Lake Suzy","Desoto","6"
"Dunnellon","Citrus","6"
